homograph,word acc,phone acc,stress acc,syl acc,count
IMPLEMENT,0.8888888888888888,0.8888888888888888,1.0,1.0,9
COMPRESS,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
EXPORT,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,14
CONVICT,1.0,1.0,1.0,1.0,9
TEAR,0.8888888888888888,0.8888888888888888,1.0,1.0,9
INTRIGUE,0.9,1.0,0.9,1.0,10
RECORD,1.0,1.0,1.0,1.0,7
POLISH,1.0,1.0,1.0,1.0,10
INVERT,0.8571428571428571,1.0,0.8571428571428571,1.0,7
SUPPLEMENT,1.0,1.0,1.0,1.0,10
CONSTRUCT,1.0,1.0,1.0,1.0,10
BOW,0.625,0.625,1.0,1.0,8
GRADUATE,0.875,0.875,0.875,0.875,8
MODERATE,0.8,0.8,1.0,1.0,10
EXPLOIT,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
OVERTHROW,0.4,1.0,0.4,1.0,10
READ,0.625,0.625,1.0,1.0,16
CONFLICT,1.0,1.0,1.0,1.0,9
BASS,0.09090909090909091,0.09090909090909091,1.0,1.0,11
ATTRIBUTE,0.8888888888888888,0.8888888888888888,0.8888888888888888,1.0,9
ASSOCIATE,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.7272727272727273,11
ABSTRACT,1.0,1.0,1.0,1.0,9
PERMIT,0.2,0.2,0.2,1.0,5
TRANSPLANT,0.8888888888888888,1.0,1.0,1.0,9
DOVE,1.0,1.0,1.0,1.0,9
OBJECT,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,14
CELTIC,0.6666666666666666,0.6666666666666666,1.0,1.0,9
JOB,1.0,1.0,1.0,1.0,11
DIFFUSE,0.6,0.6,1.0,1.0,10
CONGLOMERATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
IMPLANT,0.18181818181818182,0.5454545454545454,0.6363636363636364,1.0,11
PIGMENT,1.0,1.0,1.0,1.0,7
MOUTH,1.0,1.0,1.0,1.0,10
SOW,0.6666666666666666,0.6666666666666666,1.0,1.0,12
ADDICT,0.9,0.9,0.9,1.0,10
SEPARATE,0.8888888888888888,0.8888888888888888,1.0,1.0,9
INVALID,0.9090909090909091,0.9090909090909091,0.9090909090909091,1.0,11
PROGRESS,0.9,0.9,0.9,1.0,10
