WINDS,1.0,2
INCREASE,1.0,3
INVITE,1.0,1
TEAR,0.5,2
JOB,1.0,2
REFUSE,1.0,3
ENTRANCE,1.0,3
ABSTRACT,1.0,1
READ,0.7857142857142857,14
ORNAMENT,1.0,1
MODERATE,1.0,1
LIVE,0.9333333333333333,15
MATE,1.0,1
APPROPRIATE,1.0,1
PROGRESS,1.0,4
BLESSED,1.0,2
COMPACT,0.0,1
CLOSE,0.8,15
OBJECT,0.125,8
CONDUCT,0.75,4
ABUSE,1.0,1
CONFLICT,0.0,1
UPSET,1.0,1
LEARNED,1.0,7
INSULT,1.0,1
USE,0.8235294117647058,17
ELABORATE,1.0,1
LIVES,0.5714285714285714,7
PRESENT,1.0,18
INVALID,1.0,1
AFFECT,1.0,1
SUSPECT,1.0,2
WIND,1.0,12
WOUND,0.6666666666666666,3
PRODUCE,1.0,3
CONTEST,1.0,1
HOUSE,1.0,44
AGED,1.0,2
BOW,0.0,3
SEPARATE,1.0,3
LEAD,0.4,5
USES,0.0,1
JESUS,1.0,3
CONSOLE,1.0,1
PERFECT,1.0,8
PROTEST,1.0,1
CONTRACT,1.0,1
CONTENT,0.75,4
READING,1.0,4
FREQUENT,1.0,2
ASSOCIATE,1.0,1
PERFUME,1.0,1
INCENSE,1.0,1
DOVE,1.0,1
PROJECT,1.0,1
INTIMATE,1.0,1
SAKE,0.0,5
SUBJECT,1.0,11
ESCORT,1.0,1
PERMIT,1.0,2
DELIBERATE,1.0,1
MINUTE,1.0,7
CONTRAST,1.0,1
MOUTH,1.0,9
AUGUST,1.0,1
RECORD,1.0,2
DESERT,1.0,3
ROW,0.0,2
EXCUSE,0.3333333333333333,3
INSTRUMENT,1.0,2
RESUME,1.0,1
