0,they also import spices from vietnam that cannot be found in hong kong but are vital for the dishes,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,2,import,Morphosyntactic
1,non ecrs processes typically import valid transactions only and generate an exception list of the invalid transactions,"('vb', 'i m - p oo t', [0, 1])", 1 i m - 0 p oo t ,4,import,Morphosyntactic
2,however a recount resulted in a tie with both bezanson and tidman receiving three thousand seven hundred and thirty five votes,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
3,ingham county was the first county to complete their recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,9,recount,Lexical
4,jay love unlikely to seek recount in second district loss to bobby bright,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,5,recount,Lexical
5,more recently the county acquired national attention during the two thousand presidential election when a controversial recount occurred,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,16,recount,Lexical
6,so far only in the gubernatorial elections of nineteen eighty and two thousand four has a recount taken place,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,16,recount,Lexical
7,klain was portrayed by kevin spacey in the hbo film recount depicting the tumult of the two thousand presidential election,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,10,recount,Lexical
8,the florida recount was stopped a few weeks later by the us supreme court,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
9,immediately following the election stevenson filed a motion with the illinois supreme court for a state paid recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,17,recount,Lexical
10,the recount confirmed the result but by a narrower margin,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,1,recount,Lexical
11,after a recount gingrich prevailed by nine hundred and eighty votes with a fifty one percent to forty nine percent result,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,2,recount,Lexical
12,as the margin was within the two percent range there was a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,12,recount,Lexical
13,however since obama already won the election there had been no indications to suggest that he would request a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,19,recount,Lexical
14,however lukaszuk appealed the recount three times to the alberta court of appeals disputing a number of rejected ballots,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,4,recount,Lexical
15,the following day it was announced that the recount resulted in another tie,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,8,recount,Lexical
16,coleman declared himself the victor and suggested that franken waive his right to a recount,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,14,recount,Lexical
17,after demanding a recount west finally conceded the election to murphy on november twentieth twenty twelve,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,3,recount,Lexical
18,peter inverso won't seek recount in fourteenth district election loss to sen,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,4,recount,Lexical
19,the vote was so close that a recount was performed and ballots were carefully scrutinized,"('nn', 'r ii - k ow n t', [1, 0])", 3 r ii - 1 k ow n t ,7,recount,Lexical
