0,freedom from hunger has trained local organizations to implement the malaria initiative as part of the credit with education program,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,8,implement,Lexical
1,in numerical analysis different decompositions are used to implement efficient matrix algorithms,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,8,implement,Lexical
2,the sunhammer proved to be the implement of the trow's destruction,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,6,implement,Lexical
3,aloha editor tries to implement its functionality respecting the html five specification draft,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,4,implement,Lexical
4,after the review of the information the district was not required to implement the recommended cost savings changes,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,12,implement,Lexical
5,common uses include water sewage petroleum and petrochemical pumping a centrifugal fan is commonly used to implement a vacuum cleaner,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,16,implement,Lexical
6,an application can implement synchronized distributed rendering using eight hundred and two one as and higher layers,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,3,implement,Lexical
7,harris was committed to implement the csr platform almost in its entirety,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,4,implement,Lexical
8,to implement the measure ottbergen station had to be rebuilt with a storage track and track connections,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,1,implement,Lexical
9,this agency has drafted energy efficiency legislative frameworks aiming to implement the best eu practices,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,10,implement,Lexical
10,speargun a speargun is an underwater fishing implement designed to fire a spear at fish,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,7,implement,Lexical
11,general george s patton called it the greatest implement of battle ever devised,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,8,implement,Lexical
12,greek authorities decided to implement a nineteen ninety nine law which stipulates that all brothels must have permits,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,4,implement,Lexical
13,consumerium is an open campaign to implement moral purchasing,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,6,implement,Lexical
14,an obstetrical implement known as a pince de bar an umbilical cord clamp is named after him,"('nn', 'i m - p l i - m @ n t', [1, 0, 0])", 1 i m - 0 p l i - 0 m e n t ,2,implement,Lexical
15,they wanted to retard british settlement and buy time for france to implement its acadian resettlement scheme,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,12,implement,Lexical
16,states may implement their own nics programs,"('vb', 'i m - p l i - m e n t', [1, 0, 0])", 0 i m - 1 p l e - 0 m e n t ,2,implement,Lexical
